Regional Member,Year,GDP Growth,Unit of Measurement,Subregion,Country Code,Source
Marshall Islands,2019,3.8,%,The Pacific,MHL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Marshall Islands,2020 forecast,-5.5,%,The Pacific,MHL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Marshall Islands,2021 forecast,-1.4,%,The Pacific,MHL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Mongolia,2018,7.2,%,East Asia,MNG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Mongolia,2019,5.1,%,East Asia,MNG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Mongolia,2020 forecast,-2.6,%,East Asia,MNG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Mongolia,2021 forecast,5.1,%,East Asia,MNG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Myanmar,2018,6.4,%,Southeast Asia,MMR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Myanmar,2019,6.8,%,Southeast Asia,MMR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Myanmar,2020 forecast,1.8,%,Southeast Asia,MMR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Myanmar,2021 forecast,6.0,%,Southeast Asia,MMR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Nauru,2018,5.7,%,The Pacific,NRU,Asian Development Outlook (ADO) 2020 Update (September 2020)
Nauru,2019,1.0,%,The Pacific,NRU,Asian Development Outlook (ADO) 2020 Update (September 2020)
Nauru,2020 forecast,-1.7,%,The Pacific,NRU,Asian Development Outlook (ADO) 2020 Update (September 2020)
Nauru,2021 forecast,0.5,%,The Pacific,NRU,Asian Development Outlook (ADO) 2020 Update (September 2020)
Nepal,2018,6.7,%,South Asia,NPL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Nepal,2019,7.0,%,South Asia,NPL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Nepal,2020 forecast,2.3,%,South Asia,NPL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Nepal,2021 forecast,1.5,%,South Asia,NPL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Niue,2018,6.5,%,The Pacific,NIU,Asian Development Outlook (ADO) 2020 Update (September 2020)
Niue,2019,,%,The Pacific,NIU,Asian Development Outlook (ADO) 2020 Update (September 2020)
Niue,2020 forecast,,%,The Pacific,NIU,Asian Development Outlook (ADO) 2020 Update (September 2020)
